"MABP" "CBFV" "gamma" "nu" "cost" "train.cor" "test.cor" "fold"
"357" 8 3 0.125 0.4 512 0.9897 0.239300618446066 2
"358" 6 1 2 0.1 256 0.9357 0.239294773777163 2
"359" 8 1 0.125 0.1 10000 0.9289 0.23926764488612 2
"360" 7 3 0.125 0.5 256 0.9893 0.238595792411249 2
"361" 8 2 0.00048828125 0.9 32 0.9574 0.238222717386822 2
"362" 7 3 2 0.3 64 0.995 0.237880968016443 2
"363" 8 2 0.0078125 0.1 256 0.987 0.237818362290269 2
"364" 8 2 0.001953125 0.9 8 0.9574 0.237789707801285 2
"365" 8 2 0.001953125 0.8 16 0.9803 0.237575266732919 2
"366" 8 4 0.03125 0.7 1024 0.9897 0.237182314823028 2
"367" 7 2 0.5 0.8 8 0.9882 0.237132062878182 2
"368" 4 2 2 0.8 1024 0.9929 0.237110260219645 2
"369" 8 3 0.03125 0.5 1024 0.9886 0.237023748969827 2
"370" 7 3 2 0.8 0.5 0.9896 0.236861202074838 2
"371" 8 3 0.125 0.7 128 0.9891 0.236399519312467 2
"372" 7 4 0.125 0.8 16 0.9895 0.236346002965651 2
"373" 4 1 2 0.2 256 0.9316 0.235947902313423 2
"374" 7 1 0.125 0.1 10000 0.9279 0.235793735622965 2
"375" 5 1 2 0.2 128 0.9345 0.23571612736141 2
"376" 7 4 0.03125 0.9 1024 0.9896 0.235715292298396 2
"377" 4 4 0.5 0.4 512 0.9923 0.235531688333115 2
"378" 8 1 2 0.1 32 0.9347 0.235520026868192 2
"379" 7 3 0.0078125 0.1 1024 0.9877 0.23541293901036 2
"380" 8 3 0.00048828125 0.7 10000 0.9879 0.235261861315814 2
"381" 4 1 2 0.1 10000 0.91 0.235195711891836 2
"382" 8 1 2 0.4 256 0.9595 0.235187546085436 2
"383" 7 1 0.5 0.1 512 0.9287 0.235053705436315 2
"384" 5 1 2 0.2 256 0.9362 0.234684313432817 2
"385" 7 4 0.03125 0.8 128 0.9892 0.23463321689881 2
"386" 4 2 2 0.2 1024 0.992 0.234234610444795 2
"387" 8 3 0.001953125 0.8 512 0.9845 0.234084540332218 1
"388" 8 1 2 0.7 512 0.9639 0.233978637367205 2
"389" 8 4 2 0.8 0.25 0.9883 0.233862627047234 2
"390" 8 3 0.03125 0.2 256 0.9881 0.233815966665631 2
"391" 7 4 0.125 0.6 64 0.9902 0.233731491898339 2
"392" 7 3 0.125 0.5 128 0.9891 0.233631053311047 2
"393" 8 3 0.001953125 0.4 1024 0.9852 0.233589587001598 1
"394" 7 3 0.5 0.5 8 0.9895 0.233582404843309 2
"395" 8 3 0.5 0.4 16 0.99 0.233380951604414 2
"396" 4 1 2 0.2 1024 0.9339 0.233035940198161 2
"397" 7 3 2 0.3 8 0.9926 0.232905554151849 2
"398" 8 2 0.5 0.9 32 0.989 0.232779004063133 2
"399" 8 3 0.125 0.4 1024 0.9901 0.232705491647575 2
"400" 7 1 2 0.9 1024 0.9621 0.232400205371954 2
"401" 8 1 2 0.5 512 0.9662 0.23223869847605 2
"402" 4 1 2 0.3 1024 0.9369 0.231990323325939 2
"403" 8 4 0.03125 0.8 512 0.9894 0.231940141076684 2
"404" 8 2 0.001953125 0.9 512 0.9844 0.231932962519432 1
"405" 8 2 0.03125 0.8 1 0.9798 0.231882819855515 2
"406" 8 4 0.5 0.8 4 0.9905 0.231863498196526 2
"407" 8 4 0.5 0.4 16 0.9914 0.231835570780604 2
"408" 5 3 2 0.2 512 0.9945 0.231820727663271 2
"409" 8 2 0.125 0.9 512 0.9885 0.231334625719135 2
"410" 8 2 0.03125 0.8 0.5 0.9538 0.231262437438266 2
"411" 4 3 0.5 0.3 10000 0.972 0.230983716476833 2
"412" 8 4 0.5 0.2 1024 0.9936 0.230746120681752 2
"413" 7 4 0.5 0.5 8 0.991 0.230722959888388 2
"414" 7 3 0.5 0.8 1024 0.9915 0.230715681798207 2
"415" 8 1 0.5 0.1 512 0.9294 0.230564199637202 2
"416" 8 2 0.125 0.9 1024 0.9888 0.230350576702741 2
